DATE,USERCOUNT,SECONDSSPENT,QUANTITY,VOLUME,WEIGHT,PRICE
2018-12-19,126,4107346,1954999,7061.0929474760005,989606.1772,3660851.35
2018-12-20,127,3940855,2174292,6969.567730756,982229.8637,3796755.56
2018-12-21,110,3268402,2247656,7473.098117619,1004720.4524000001,3519201.93
2018-12-22,1,31273,0,0.0,0.0,0.0
2018-12-24,113,2859478,1648636,5411.554920448,729556.3217,2734816.17
2018-12-25,1,31261,0,0.0,0.0,0.0
2018-12-26,114,3581533,2016955,6899.519062954,928568.8463,3631215.81
2018-12-27,112,3703223,1908467,6746.387488929,928771.9861,4060443.83
2018-12-28,95,3128933,1892165,6771.301668849999,964129.928,3519160.11
2018-12-29,1,58768,163896,574.18197628,75557.597,189395.64
2019-01-02,111,3175312,1557950,6346.916133098,898694.514,3230921.9499999997
2019-01-03,127,3751016,1645490,6562.451013383,888507.7048,3415707.43
2019-01-04,97,2445777,1840014,6957.804406638,957316.5534,3008276.52
2019-01-05,1,8497,1873,2.6771535,447.216,1957.89
2019-01-07,112,3136136,1256251,5135.884263545,688083.6257,2788531.65
2019-01-08,114,3395185,1542733,7236.687832716,811526.4384,3962992.54
2019-01-09,101,3043913,1400565,6320.618719683,658415.6964,3362599.4
2019-01-10,111,3152140,1607993,7593.90793393,802287.4689,3841199.33
2019-01-11,98,2812955,1459852,6757.367937114001,709152.6449,3682399.57
2019-01-12,1,77358,88098,428.877598584,43391.578,138213.28
2019-01-14,117,3579801,1557798,7376.198797165,792278.2935,4302083.5200000005
2019-01-15,112,3196415,1534623,7422.9290614209995,817457.3381,3557497.71
2019-01-16,98,3177026,1220662,5507.8296281465,641706.3281,3039322.5900000003
2019-01-17,98,2751364,1323250,5948.865762429,672389.387,2886673.72
2019-01-18,75,1960379,949700,4296.7004229594995,470478.3609,2192511.9
2019-01-19,1,89701,51016,227.186377964,24666.218,71173.3
2019-01-21,84,2886987,1160459,5147.419022797,550350.5021,2696187.52
2019-01-22,95,2601634,1172293,4722.070733373,565315.1732000001,2546825.84
2019-01-23,90,2232542,1003796,4487.654724566,499835.1793,2293338.16
2019-01-24,85,2588024,1006487,5066.2677266005,578160.7672,2582463.08
2019-01-25,64,1679988,819689,4527.212849898499,504086.1964,2005195.06
2019-01-26,1,37796,0,0.0,0.0,0.0
2019-01-28,80,1379542,541450,4209.774665762,482627.7905,1752672.24
2019-01-29,98,2678760,887050,5890.8667063735,675583.3647,2580447.67
2019-01-30,97,3137196,1101487,6392.371725769,734017.5824,3209483.9
2019-01-31,95,3072709,1189898,7053.2668115814995,740733.469,3439655.84
2019-02-01,87,2789632,1355579,6437.5445703845,708391.5873,3332246.19
2019-02-02,1,120911,12234,64.416153852,7302.263,21206.76
2019-02-04,93,3047324,1296093,5538.063392589,626727.8788,3175877.83
2019-02-05,100,3322986,1532385,6744.8691669975,754489.1499,4051199.62
2019-02-06,104,3930402,1402470,6470.414548852,742900.8382,4372596.45
2019-02-07,101,3665607,1411320,6358.849688419,732272.3195,4183695.42
2019-02-08,107,3897645,1717074,7578.876532651,895873.7653999999,5183532.42
2019-02-09,30,730827,304830,1313.01125481,170245.5224,964195.03
2019-02-11,115,3974609,1581070,6790.8531286444995,844056.0274,43558833.730000004
2019-02-12,125,4346180,1810850,7412.599167791,947533.0114,5070791.79
2019-02-13,67,1854085,824744,3869.4092250895,483312.0068,2684689.96
2019-02-14,108,3819230,1409600,6392.853529805499,804690.8875,4213857.5
2019-02-15,91,3089661,1453640,7184.7656246155,846285.7986999999,4208690.24
2019-02-16,1,96047,17652,72.846443106,9776.577,28327.72
2019-02-18,107,4275068,1594891,6750.339483434,779612.6592999999,3545207.31
2019-02-19,119,3881275,1902067,7955.998429388,900794.3857,3986590.58
2019-02-20,105,4137072,1744531,6790.184223407,787209.8628,3687597.2800000003
2019-02-21,106,3874511,1630957,6410.564122223001,732635.9466,3371215.07
2019-02-22,94,2234857,1545468,6120.504546170499,715836.3705,2993157.41
2019-02-23,1,122381,29908,107.52589661,12625.722000000002,41643.14
2019-02-25,104,4232026,1556492,7536.276162358,861923.2407999999,4115704.6
2019-02-26,110,3696591,1168240,7848.944263751,913595.8992,4770623.45
2019-02-27,109,3664182,1106188,8356.476371745002,937851.929,4620763.88
2019-03-01,102,3434355,1405867,8875.66966684,1058027.4543,4784886.28
2019-03-02,1,69026,77354,429.033187511,52112.811,151707.08
2019-03-04,126,4136166,1582755,7677.381121851,940817.7452,4450148.05
2019-03-05,119,4147296,1890458,7642.474714802,1015830.5883999999,4592529.6899999995
2019-03-06,107,3715882,1431951,6868.977327733,832194.7089999999,4391217.5
2019-03-07,122,4689546,1715440,9124.864197684501,1077105.9357,5705658.48
2019-03-08,106,3257383,1508522,7622.525539663,952719.6211,4890632.59
2019-03-09,1,40446,33130,183.298180139,22966.579,66224.66
2019-03-11,118,4078348,1644919,8201.679488343,1033914.1371,5267721.01
2019-03-12,129,3949926,1814061,10028.7399056325,1162604.4759,5644239.19
2019-03-13,121,4083922,1359259,8651.0376651385,906509.591,5495161.2299999995
2019-03-14,136,3902110,1731370,10034.3960503055,1029202.2765,5921921.5200000005
2019-03-15,119,3725230,1547924,10391.7237563705,959673.4599,5656118.51
2019-03-16,1,113817,65138,490.159930162,46950.356,156676.12
2019-03-18,138,4162885,1596271,8792.2714419685,922062.461,5228209.11
2019-03-19,135,4123850,1878469,9451.1826893715,1076735.5418,5589777.94
2019-03-20,126,3819012,1753171,7800.109041700498,889977.627,4608282.97
2019-03-21,133,4171804,1829211,8021.833666771999,861277.929,4642498.33
2019-03-22,118,3592731,2068214,8413.407087974998,898826.2011,4397772.41
2019-03-25,134,4232794,1859650,8955.145266145997,866681.3635,5062630.54
2019-03-26,126,3612904,1701775,9376.9017714285,869366.3372,4897689.43
2019-03-27,119,3681709,1467648,8294.3369738315,859188.8139000001,5793743.15
2019-03-28,126,3889728,1538186,9328.3830464895,929331.0452,8195670.36
2019-03-29,115,3270443,1468478,8386.384481528501,903736.3481,6773614.07
2019-03-30,1,57775,34964,191.775003312,24103.8058,60431.52
2019-04-01,121,3310831,1368466,7908.312280572501,906769.2882,7574225.6
2019-04-02,120,3418302,1335259,8256.505813595,974641.3374999999,8421805.82
2019-04-03,116,3241668,1265417,7390.519165285996,880554.1169,6937106.04
2019-04-04,111,3514317,1460731,8571.122356592998,994425.0683736434,72772868.05999999
2019-04-05,105,3195578,1485738,7692.2448942675,892189.6121534883,5122762.29
2019-04-06,1,75292,22372,99.326843276,12578.7816,33171.22
2019-04-08,130,3432536,1304636,8585.1042872935,911408.1846534885,317811566.5
2019-04-09,127,3350719,1325643,8494.64974028,911656.996331783,114172049.53999999
2019-04-10,142,4186608,1345939,8354.7974878355,916081.0804547803,26323152.05
2019-04-11,135,4277282,1451086,9087.4467661205,1000529.4023168819,77893079.21000001
2019-04-12,125,3724784,1384287,8484.773742739999,976419.474027218,185752434.03
2019-04-15,141,4561797,1386598,9731.1572202395,1070412.1373606368,34359748.56
2019-04-16,136,3892536,2018751,9020.946680461,1173514.613326338,6001481.609999999
2019-04-17,112,3145620,1277455,7084.9188985765,804509.2105950637,4733593.86
2019-04-18,110,3148065,1165593,6736.433465309,739840.4954991719,4699304.02
2019-04-19,87,1845976,1203975,7136.6142502265,775773.3196997314,3611203.25
2019-04-20,1,19554,32026,191.758682904,20353.28779997742,64828.02
2019-04-23,116,2771572,931635,6838.817514178,689561.7875999934,3881099.37
2019-04-24,123,3160477,1024086,8126.744236322,829702.156899996,4802684.02
2019-04-25,118,3899090,1177866,9353.4732613415,944088.8463999986,5101936.65
2019-04-26,100,3305119,1176754,8586.635484567,940994.0398,4681037.180000001
2019-04-27,1,41116,0,0.0,0.0,0.0
2019-04-29,108,3376081,1090715,8846.0809057435,899138.4959999999,5129029.27
2019-05-01,1,92164,0,0.0,0.0,0.0
2019-05-02,103,3471488,1011588,8490.17583476,877385.1895,5699415.529999999
2019-05-03,92,3001950,1097422,7860.1684972505,849954.3132,5114258.94
2019-05-04,1,42729,40070,345.528176533,35723.5636,129336.78
2019-05-06,116,3903520,1224156,8298.169460576999,964091.0652,5602472.48
2019-05-07,113,3639836,1342403,8528.489952532997,1020089.4236,5594373.5600000005
2019-05-08,119,4055211,1613004,7649.597289823498,944226.4691,4608140.94
2019-05-09,117,4233786,1671665,8116.7428208815,989874.6553000001,5555069.85
2019-05-10,119,4024552,2105547,10280.252595273996,1230254.1339,6594261.75
2019-05-11,2,5314,2597,9.70085673,1360.2628,9997.57
2019-05-13,109,4074049,1581765,8099.374874889495,947021.133,6076945.13
2019-05-14,126,4354007,1666635,8862.193722119498,1019191.0752,5946373.59
2019-05-15,120,3796043,1425468,8203.421699855991,934995.6257,5193167.12
2019-05-16,111,3762911,1440365,7403.905490149498,864412.4405,4636033.149999999
2019-05-17,107,3838445,1640634,8693.290319975,1007484.9084,5611305.27
2019-05-18,1,30921,0,0.0,0.0,0.0
2019-05-20,112,3785010,1465147,7228.907513217,871437.4482999999,5052563.1
2019-05-21,111,3670639,1348423,7624.746906348997,895554.11,4418216.32
2019-05-22,113,3341057,1063520,6599.800356995997,772167.0451,27711313.28
2019-05-23,102,3224088,1000643,6245.819991048,722769.5085,3856956.6
2019-05-24,86,2558794,1044829,6338.608672079999,759872.677,3766795.45
2019-05-25,1,98307,0,0.0,0.0,0.0
2019-05-27,117,3559494,1210962,7348.181305271,846094.707,5038472.75
2019-05-28,116,3934644,1407736,7280.923007128004,898435.8333,4942525.64
2019-05-29,95,3111424,1194702,6717.355208428,778976.2224,4401927.649999999
2019-05-31,88,3131434,1396854,6961.782792273002,830289.6896,4476900.93
2019-06-01,1,35877,0,0.0,0.0,0.0
2019-06-03,106,3399954,1298233,7194.4649664445005,857628.2468,4517939.71
2019-06-04,103,3334238,1242005,7013.877292814502,848327.348,4926839.85
2019-06-05,107,3503203,1242056,6466.820570916002,817135.3478,4576861.18
2019-06-06,117,3663825,1524837,7456.029813379503,954852.456,4786827.49
2019-06-07,93,2983389,1585170,7040.217823941,935941.2252,4102544.89
2019-06-08,1,80988,56214,223.24194596,31521.856,86213.84
2019-06-11,106,3711794,1239643,6329.940372653502,820090.0557,3826010.26
2019-06-12,101,2594896,1104588,4872.363523186,666214.7535,3390653.5
2019-06-13,108,3661162,1417068,6755.523332815,866247.4669,4619154.83
2019-06-14,106,3204960,1375877,6998.8763071005,892679.236,4503916.42
2019-06-15,1,38346,149360,746.097604622,95478.532,248803.46
2019-06-17,111,3365002,1350810,6746.319868987996,894811.7007,4756349.04
2019-06-18,87,2688528,1388420,6173.170317850998,847294.832,4061147.08
2019-06-19,88,2481044,1074274,5362.869623335997,713888.7218,3430365.04
2019-06-20,87,2627175,966160,4896.433043853004,665984.865,3366320.85
2019-06-21,80,2582304,1278300,6368.1783324305,880466.7672,3849695.19
2019-06-22,1,94550,34832,168.14336722,22643.044,66179.84
2019-06-24,92,3002050,1159861,5844.677602634005,759613.633,3806842.91
2019-06-25,87,3027042,1154087,6183.271209849,816247.6365,4754691.77
2019-06-26,93,3188733,1179126,5870.2945608380005,780902.0445000001,3894832.45
2019-06-27,97,3170712,1203237,6483.801545650492,870798.4066666667,3641684.07
2019-06-28,84,2715750,1291752,6868.063001328,903184.949,3676930.23
2019-06-29,1,39071,0,0.0,0.0,0.0
2019-07-01,109,3195216,1135201,6429.108290722498,865359.253,4244049.18
2019-07-02,105,3581618,1162129,6772.5543006705,957357.772,4669375.8
2019-07-03,106,3576455,1236330,6893.2769375325,958054.2755714285,5192306.41
2019-07-04,110,3828371,1225845,7206.9644326395,929892.8995428572,5262564.65
2019-07-05,92,2835630,1197169,6807.171573946,860297.3114428571,4262005.91
2019-07-06,1,140853,41180,223.167333533,30204.348285714284,85034.6
2019-07-08,108,3717884,1148795,7792.0200612985,850524.6225,5297527.31
2019-07-09,112,4162306,1164063,8422.287468621504,918081.1755,5561887.17
2019-07-10,115,4092424,1214550,8121.368114293,915731.532,5917170.06
2019-07-11,109,3971283,1231719,8619.462320395998,996115.833,5579442.58
2019-07-12,105,3516536,1226139,8255.021348141994,974482.6380185185,5332212.89
2019-07-13,1,90886,95612,567.875957938,75483.21,222351.1
2019-07-15,116,3845163,1200710,7889.178262527993,950242.7193148148,5229835.96
2019-07-16,118,4103754,1377479,7879.400986061997,1025684.5292962963,4872307.25
2019-07-17,117,3850331,1213313,6865.1688930129985,834584.6207142858,4211768.37
2019-07-18,94,3089335,1006362,5946.530821185,708529.1324285715,3362483.29
2019-07-19,93,2948079,1225132,6075.656640518499,744372.301,3528441.1999999997
2019-07-20,1,33470,23506,152.396476912,17976.273,54367.34
