SECONDSSPENT,FORECAST,DATE
0.0,,2023-04-10
1497549.0,,2023-04-11
1575238.0,,2023-04-12
1471610.0,,2023-04-13
1232105.0,,2023-04-14
606896.0,,2023-04-15
0.0,,2023-04-16
2128930.0,,2023-04-17
1533817.0,,2023-04-18
1591179.0,,2023-04-19
1683096.0,,2023-04-20
1269227.0,,2023-04-21
0.0,,2023-04-22
0.0,,2023-04-23
2135093.0,,2023-04-24
1654829.0,,2023-04-25
1786066.0,,2023-04-26
1706439.0,,2023-04-27
1810797.0,,2023-04-28
41479.0,,2023-04-29
0.0,,2023-04-30
0.0,,2023-05-01
2194689.0,,2023-05-02
2178143.0,,2023-05-03
1974723.0,,2023-05-04
1901291.0,,2023-05-05
0.0,,2023-05-06
0.0,,2023-05-07
2387607.0,,2023-05-08
1804439.0,,2023-05-09
1846482.0,,2023-05-10
1911116.0,,2023-05-11
1674096.0,,2023-05-12
764.0,,2023-05-13
0.0,,2023-05-14
2455986.0,,2023-05-15
1726954.0,,2023-05-16
1643700.0,,2023-05-17
0.0,,2023-05-18
1309004.0,,2023-05-19
0.0,,2023-05-20
0.0,,2023-05-21
2556471.0,,2023-05-22
1615007.0,,2023-05-23
1907056.0,,2023-05-24
1759016.0,,2023-05-25
1618323.0,,2023-05-26
0.0,,2023-05-27
0.0,,2023-05-28
0.0,,2023-05-29
2070191.0,,2023-05-30
1754025.0,,2023-05-31
1941086.0,,2023-06-01
1688014.0,,2023-06-02
0.0,,2023-06-03
0.0,,2023-06-04
2158609.0,,2023-06-05
2206246.0,,2023-06-06
2138692.0,,2023-06-07
2061746.0,,2023-06-08
1897470.0,,2023-06-09
198969.0,,2023-06-10
0.0,,2023-06-11
2007710.0,,2023-06-12
1706451.0,,2023-06-13
1797904.0,,2023-06-14
1597426.0,,2023-06-15
1282675.0,,2023-06-16
0.0,,2023-06-17
0.0,,2023-06-18
1683520.0,,2023-06-19
1760754.0,,2023-06-20
1525859.0,,2023-06-21
1832562.0,,2023-06-22
1552663.0,,2023-06-23
0.0,,2023-06-24
0.0,,2023-06-25
1755645.0,,2023-06-26
1461530.0,,2023-06-27
1831552.0,,2023-06-28
1395083.0,,2023-06-29
0.0,,2023-06-30
0.0,,2023-07-01
