DATE,LOCUS,WOANBL
2018-10-01,TL,19
2018-10-02,ARWEB,0
2018-10-02,EXT,3
2018-10-02,NL,27450
2018-10-02,NLECO,120
2018-10-02,NWKL,2503
2018-10-02,TL,3
2018-10-03,NL,32143
2018-10-03,NWDSP,23
2018-10-03,NWECO,398
2018-10-03,NWKL,411
2018-10-03,TL,3
2018-10-04,NL,26477
2018-10-04,NWDSP,6
2018-10-04,PHKER,2742
2018-10-05,EXT,1
2018-10-05,NL,10521
2018-10-05,NLECO,0
2018-10-05,PHKER,240
2018-10-05,TL,21
2018-10-07,NL,36958
2018-10-08,NL,40293
2018-10-08,NLECO,134
2018-10-09,NL,50119
2018-10-09,NLECO,133
2018-10-09,NWDSP,7
2018-10-09,NWECO,41
2018-10-09,NWKL,3516
2018-10-10,NL,59151
2018-10-10,NLECO,14
2018-10-10,NWDSP,1
2018-10-10,PHKER,849
2018-10-11,NL,34565
2018-10-11,NLECO,201
2018-10-11,NWKL,2348
2018-10-11,PHKER,1243
2018-10-12,NL,26
2018-10-12,NLECO,191
2018-10-12,PHKER,1721
2018-10-12,TL,5
2018-10-13,NL,4402
2018-10-14,NL,74314
2018-10-15,NL,47294
2018-10-15,NLECO,77
2018-10-15,NWKL,752
2018-10-15,PHKER,1348
2018-10-16,EXT,1
2018-10-16,NL,65108
2018-10-16,NLECO,437
2018-10-17,NL,36760
2018-10-17,NLECO,1
2018-10-17,PHKER,14
2018-10-18,ARWEB,2
2018-10-18,NL,28641
2018-10-18,NLECO,19
2018-10-19,ARWEB,1
2018-10-19,NL,53
2018-10-19,NLECO,14
2018-10-19,TL,2
2018-10-20,NL,5629
2018-10-21,NL,42405
2018-10-22,ARWEB,27
2018-10-22,NL,57817
2018-10-22,NLECO,2
2018-10-22,NWDSP,7
2018-10-22,NWECO,28
2018-10-22,NWKL,921
2018-10-23,NL,61168
2018-10-23,NLECO,21
2018-10-23,NWDSP,13
2018-10-23,NWECO,78
2018-10-23,NWKL,1346
2018-10-24,ARWEB,13
2018-10-24,NL,21201
2018-10-24,NLECO,2
2018-10-24,NWDSP,5
2018-10-24,NWECO,1
2018-10-24,NWKL,1838
2018-10-24,TL,13
2018-10-25,ARWEB,2
2018-10-25,NL,16614
2018-10-25,NWDSP,27
2018-10-25,NWECO,224
2018-10-25,NWKL,2150
2018-10-25,TL,26
2018-10-26,ARWEB,2
2018-10-26,NL,7
2018-10-26,PHKER,630
2018-10-26,TL,12
2018-10-27,NL,13696
2018-10-28,NL,32265
2018-10-29,NL,32652
2018-10-29,NLECO,1
2018-10-29,NWECO,26
2018-10-29,NWKL,3099
2018-10-30,ARWEB,2
2018-10-30,NL,2087
2018-10-30,NWKL,650
2018-10-30,TL,1
2018-10-31,ARWEB,11
2018-10-31,NL,43587
2018-11-01,NL,30713
2018-11-02,ARWEB,7
2018-11-02,EXT,1
2018-11-02,NL,213
2018-11-03,NL,5860
2018-11-04,NL,26288
2018-11-05,ARWEB,19
2018-11-05,NL,35912
2018-11-05,NWKL,2552
2018-11-06,NL,40180
2018-11-06,NLECO,42
2018-11-07,ARWEB,2
2018-11-07,NL,29558
2018-11-07,NWDSP,47
2018-11-07,NWECO,370
2018-11-08,ARWEB,1
2018-11-08,NL,32036
2018-11-08,TL,6
2018-11-09,ARWEB,5
2018-11-09,NL,25
2018-11-09,NWKL,1560
2018-11-10,NL,4591
2018-11-11,NL,28347
2018-11-12,ARWEB,4
2018-11-12,NL,36043
2018-11-12,NWDSP,9
2018-11-12,TL,8
2018-11-13,ARWEB,24
2018-11-13,NL,41486
2018-11-14,NL,22856
2018-11-14,NWKL,1275
2018-11-14,PHSLD,0
2018-11-15,ARWEB,1
2018-11-15,NL,17627
2018-11-15,PHSLD,2843
2018-11-15,TL,13
2018-11-16,ARWEB,1
2018-11-16,NL,860
2018-11-16,PHSLD,15013
2018-11-17,NL,6226
2018-11-18,NL,16312
2018-11-19,ARWEB,14
2018-11-19,NL,23047
2018-11-20,ARWEB,12
2018-11-20,NL,26977
2018-11-20,PHSLD,8908
2018-11-20,VSOLD,67
2018-11-21,ARWEB,10
2018-11-21,NL,20624
2018-11-21,PHSLD,10205
2018-11-21,TL,1
2018-11-22,ARWEB,6
2018-11-22,NL,19424
2018-11-22,PHSLD,0
2018-11-22,TL,3
2018-11-23,ARWEB,3
2018-11-23,NL,206
2018-11-23,PHSLD,7968
2018-11-24,NL,7616
2018-11-25,NL,21484
2018-11-26,ARWEB,16
2018-11-26,NL,28978
