DATE,LOCUS,WOANBL
2019-08-08,NL,9958
2019-08-08,NWDSP,1
2019-08-08,TL,3
2019-08-09,ARWEB,20
2019-08-09,NL,34
2019-08-09,NWDSP,9
2019-08-09,NWKL,0
2019-08-10,NL,30384
2019-08-11,NL,27250
2019-08-12,ARWEB,19
2019-08-12,EXT,4
2019-08-12,NL,29581
2019-08-12,NLECO,18
2019-08-12,PHKER,1200
2019-08-12,TL,17
2019-08-13,ARWEB,1
2019-08-13,NL,6
2019-08-13,NWKL,8
2019-08-13,PHKER,18248
2019-08-13,TL,4
2019-08-14,ARWEB,2
2019-08-14,NL,29458
2019-08-14,TL,7
2019-08-15,NL,26834
2019-08-16,ARWEB,25
2019-08-16,NL,368
2019-08-17,NL,5542
2019-08-18,NL,20020
2019-08-19,ARWEB,25
2019-08-19,NL,25902
2019-08-19,TL,3
2019-08-20,ARWEB,5
2019-08-20,NL,34676
2019-08-20,NWKL,1
2019-08-20,PHKER,10239
2019-08-20,TL,4
2019-08-21,ARWEB,32
2019-08-21,EXT,5
2019-08-21,NL,17714
2019-08-21,PHKER,4731
2019-08-21,TL,2
2019-08-22,NL,20418
2019-08-22,PHKER,2396
2019-08-23,ARWEB,21
2019-08-23,NL,20
2019-08-23,PHKER,12698
2019-08-23,TL,5
2019-08-24,NL,3429
2019-08-25,NL,16152
2019-08-26,ARWEB,26
2019-08-26,NL,18236
2019-08-26,PHKER,5525
2019-08-26,TL,3
2019-08-27,ARWEB,108
2019-08-27,NL,25836
2019-08-27,PHKER,344
2019-08-28,ARWEB,39
2019-08-28,NL,16319
2019-08-28,TL,2
2019-08-29,ARWEB,1
2019-08-29,NL,21089
2019-08-29,PHKER,66
2019-08-30,ARWEB,22
2019-08-30,NL,12
2019-08-30,PHKER,4153
2019-08-30,TL,1
2019-08-31,NL,3360
2019-09-01,NL,15171
2019-09-02,ARWEB,11
2019-09-02,NL,20146
2019-09-02,PHKER,1724
2019-09-02,TL,10
2019-09-03,ARWEB,2
2019-09-03,NL,23913
2019-09-03,PHKER,9920
2019-09-03,TL,3
2019-09-04,ARWEB,4
2019-09-04,NL,18720
2019-09-04,PHKER,1189
2019-09-05,NL,22450
2019-09-05,PHKER,2166
2019-09-05,TL,3
2019-09-06,ARWEB,11
2019-09-06,NL,374
2019-09-06,PHKER,2400
2019-09-06,TL,2
2019-09-07,NL,4072
2019-09-08,NL,17583
2019-09-09,ARWEB,28
2019-09-09,EXT,6
2019-09-09,NL,26022
2019-09-09,PHKER,4369
2019-09-10,ARWEB,1
2019-09-10,NL,32975
2019-09-10,PHKER,982
2019-09-10,TL,5
2019-09-11,ARWEB,14
2019-09-11,EXT,4
2019-09-11,NL,26544
2019-09-11,PHKER,994
2019-09-11,TL,6
2019-09-12,ARWEB,2
2019-09-12,NL,30368
2019-09-12,PHKER,843
2019-09-12,TL,1
2019-09-13,ARWEB,4
2019-09-13,NL,92
2019-09-14,NL,5311
2019-09-15,NL,25237
2019-09-16,NL,28654
2019-09-16,TL,1
2019-09-17,NL,28689
2019-09-17,PHKER,1380
2019-09-17,TL,7
2019-09-18,ARWEB,34
2019-09-18,NL,23451
2019-09-18,NWECO,7
2019-09-18,NWKL,384
2019-09-19,EXT,6
2019-09-19,NL,26138
2019-09-19,NWECO,21
2019-09-19,NWKL,13
2019-09-19,PHKER,1792
2019-09-20,ARWEB,1
2019-09-20,NL,1547
2019-09-20,PHKER,8440
2019-09-20,TL,1
2019-09-21,NL,4880
2019-09-22,NL,23336
2019-09-23,ARWEB,207
2019-09-23,NL,23337
2019-09-23,TL,8
2019-09-24,ARWEB,1
2019-09-24,NL,26862
2019-09-24,TL,6
2019-09-25,ARWEB,6
2019-09-25,NL,20631
2019-09-25,PHKER,5094
2019-09-25,TL,11
2019-09-26,ARWEB,2
2019-09-26,NL,21764
2019-09-26,PHKER,12442
2019-09-27,ARWEB,13
2019-09-27,NL,43
2019-09-27,NWKL,2293
2019-09-27,PHKER,965
2019-09-27,TL,4
2019-09-28,NL,3698
2019-09-29,NL,18248
2019-09-30,ARWEB,188
2019-09-30,NL,21862
2019-09-30,PHKER,8369
2019-09-30,TL,25
2019-10-01,ARWEB,165
2019-10-01,NL,30052
2019-10-01,PHKER,916
2019-10-01,TL,7
2019-10-02,ARWEB,69
2019-10-02,NL,22156
2019-10-02,NWDSP,1
2019-10-02,PHKER,12456
2019-10-02,TL,76
2019-10-03,NL,23627
2019-10-03,NLECO,1
2019-10-03,PHKER,2981
2019-10-03,TL,5
2019-10-04,ARWEB,11
2019-10-04,NL,292
2019-10-05,NL,4486
2019-10-06,NL,22935
2019-10-07,ARWEB,14
2019-10-07,NL,30204
2019-10-07,TL,21
2019-10-08,ARWEB,1
2019-10-08,NL,44665
2019-10-08,TL,14
2019-10-09,ARWEB,190
2019-10-09,NL,34288
2019-10-09,TL,4
2019-10-10,ARWEB,1
2019-10-10,NL,33906
2019-10-10,NWDSP,38
2019-10-10,NWECO,219
2019-10-11,NL,741
2019-10-12,NL,4781
2019-10-13,NL,30571
2019-10-14,ARWEB,0
2019-10-14,NL,35013
2019-10-15,ARWEB,3
2019-10-15,NL,37827
2019-10-15,NWDSP,1
2019-10-15,TL,30
2019-10-16,ARWEB,77
2019-10-16,NL,34682
2019-10-16,TL,5
2019-10-17,ARWEB,2
2019-10-17,NL,18814
2019-10-17,NLECO,279
2019-10-18,ARWEB,0
2019-10-18,NL,602
2019-10-18,NLECO,182
2019-10-19,NL,5019
2019-10-20,NL,48079
2019-10-21,ARWEB,8
2019-10-21,NL,21750
2019-10-21,NLECO,39
2019-10-21,NWKL,1738
2019-10-22,NL,23145
2019-10-23,NL,25346
2019-10-23,TL,8
2019-10-24,NL,2440
2019-10-25,ARWEB,38
2019-10-25,NL,12202
2019-10-26,NL,13999
2019-10-27,NL,26973
2019-10-28,NL,32425
2019-10-28,TL,1
2019-10-29,NL,24941
2019-10-29,TL,16
2019-10-30,ARWEB,15
2019-10-30,NL,451
2019-10-31,NL,11597
2019-10-31,TL,11
2019-11-01,NL,535
2019-11-02,NL,12576
2019-11-03,NL,33524
2019-11-04,ARWEB,0
2019-11-04,NL,34843
2019-11-04,TL,4
2019-11-05,NL,33257
2019-11-06,ARWEB,53
2019-11-06,NL,33420
2019-11-07,NL,15958
2019-11-08,NL,294
2019-11-08,NLECO,2
2019-11-08,VRET,13
2019-11-09,NL,622
2019-11-10,NL,18671
2019-11-11,NL,30470
2019-11-12,NL,40190
2019-11-12,VRET,122
2019-11-13,ARWEB,4
2019-11-13,NL,28366
2019-11-13,TL,8
2019-11-14,ARWEB,1
2019-11-14,NL,28407
2019-11-14,NLECO,1
2019-11-14,TL,7
2019-11-15,ARWEB,1
2019-11-15,NL,22
2019-11-16,NL,4173
2019-11-17,NL,19311
2019-11-18,ARWEB,33
2019-11-18,NL,24878
2019-11-18,NLECO,1
2019-11-18,TL,20
2019-11-19,NL,29188
2019-11-20,ARWEB,15
2019-11-20,NL,21979
2019-11-20,TL,9
2019-11-21,EXT,2
2019-11-21,NL,23009
2019-11-21,NLECO,13
2019-11-21,TL,6
2019-11-22,NL,1
2019-11-22,PHSLD,22
2019-11-23,NL,3994
2019-11-24,NL,18952
2019-11-25,ARWEB,9
2019-11-25,NL,21944
2019-11-25,NLECO,6
2019-11-25,PHSLD,983
2019-11-26,NL,26832
2019-11-26,PHSLD,2007
2019-11-27,ARWEB,3
2019-11-27,NL,20445
2019-11-27,PHSLD,4328
2019-11-28,ARWEB,4
2019-11-28,NL,24907
2019-11-28,PHSLD,3426
2019-11-28,TL,9
2019-11-29,ARWEB,3
2019-11-29,NL,10
2019-11-29,VSOLD,28
2019-11-30,NL,4077
2019-12-01,NL,22964
2019-12-02,ARWEB,2
2019-12-02,NL,26354
2019-12-02,PHSLD,595
2019-12-02,TL,2
2019-12-03,ARWEB,1
2019-12-03,NL,31031
2019-12-03,TL,5
2019-12-04,ARWEB,0
2019-12-04,NL,24562
2019-12-04,VSOLD,21
2019-12-05,ARWEB,2
2019-12-05,NL,24253
2019-12-06,NL,2817
2019-12-07,NL,23458
2019-12-08,NL,19719
2019-12-09,ARWEB,70
2019-12-09,NL,32674
2019-12-09,NLECO,4
2019-12-09,TL,1
2019-12-10,NL,31221
2019-12-11,ARWEB,14
2019-12-11,NL,28440
2019-12-11,TL,1
2019-12-12,NL,12626
2019-12-13,NL,543
2019-12-14,NL,10303
2019-12-15,NL,33469
2019-12-16,ARWEB,0
2019-12-16,NL,39961
2019-12-17,ARWEB,1
2019-12-17,NL,36299
2019-12-17,TL,36
2019-12-18,ARWEB,33
2019-12-18,NL,26826
2019-12-19,ARWEB,3
2019-12-19,NL,19886
2019-12-19,TL,2
2019-12-20,ARWEB,1
2019-12-20,NL,9
2019-12-21,NL,1999
2019-12-22,NL,32147
2019-12-22,PHKER,0
2019-12-23,ARWEB,11
2019-12-23,NL,74
2019-12-23,TL,7
2019-12-24,ARWEB,6
2019-12-24,NL,22000
2019-12-24,TL,2
2019-12-24,VRET,150
2019-12-25,NL,24530
2019-12-26,ARWEB,2
2019-12-26,NL,27870
2019-12-26,TL,27
2019-12-27,ARWEB,1
2019-12-27,NL,538
2019-12-28,NL,1344
2019-12-29,NL,16655
2019-12-30,ARWEB,8
2019-12-30,NL,176
2019-12-30,PHSLD,0
2019-12-30,TL,1
2019-12-31,ARWEB,3
2019-12-31,NL,25586
2019-12-31,TL,1
2020-01-01,NL,18734
2020-01-02,NL,24610
2020-01-02,VRET,75
2020-01-03,NL,556
2020-01-03,TL,2
2020-01-04,NL,3453
2020-01-05,NL,19774
2020-01-06,ARWEB,44
2020-01-06,NL,35194
2020-01-06,VRET,219
2020-01-07,NL,39990
2020-01-07,TL,1
2020-01-08,ARWEB,22
2020-01-08,NL,28937
2020-01-08,TL,5
2020-01-09,NL,31559
2020-01-09,TL,2
2020-01-10,NL,1103
2020-01-10,TL,31
2020-01-11,NL,3573
2020-01-12,NL,28110
2020-01-13,ARWEB,11
2020-01-13,NL,21948
2020-01-13,TL,19
2020-01-14,NL,23555
2020-01-14,TL,5
2020-01-15,ARWEB,63
2020-01-15,NL,19541
2020-01-16,NL,19090
2020-01-17,NL,336
2020-01-17,TL,9
2020-01-18,NL,2598
2020-01-19,NL,15377
2020-01-20,ARWEB,17
2020-01-20,NL,16457
2020-01-20,TL,5
2020-01-21,NL,20692
2020-01-21,NWDSP,35
2020-01-21,NWECO,133
2020-01-21,TL,1
2020-01-22,ARWEB,14
2020-01-22,NL,16723
2020-01-23,NL,15919
2020-01-24,NL,3527
2020-01-24,NWECO,32
2020-01-25,NL,2445
2020-01-26,NL,13959
2020-01-27,ARWEB,13
2020-01-27,NL,16373
2020-01-27,TL,3
2020-01-28,ARWEB,2
2020-01-28,NL,23523
2020-01-29,ARWEB,17
2020-01-29,NL,20982
2020-01-29,NWDSP,29
2020-01-29,TL,7
2020-01-30,NL,21636
2020-01-31,ARWEB,3
2020-01-31,NL,529
2020-01-31,TL,5
2020-02-01,NL,3626
2020-02-02,NL,18358
2020-02-03,ARWEB,32
2020-02-03,NL,25346
2020-02-04,ARWEB,8
2020-02-04,NL,42081
2020-02-05,ARWEB,0
2020-02-05,NL,32333
2020-02-06,NL,31505
2020-02-07,ARWEB,6
2020-02-07,NL,561
2020-02-08,NL,3981
2020-02-09,NL,30363
2020-02-10,ARWEB,48
2020-02-10,NL,41913
2020-02-10,TL,1
2020-02-11,NL,40417
2020-02-11,TL,3
2020-02-12,ARWEB,18
2020-02-12,NL,30976
2020-02-12,NWKL,2283
2020-02-13,NL,33984
2020-02-14,NL,581
2020-02-15,NL,3215
2020-02-16,NL,27706
2020-02-17,ARWEB,25
2020-02-17,NL,27112
2020-02-18,ARWEB,1
2020-02-18,NL,23437
2020-02-19,ARWEB,6
2020-02-19,NL,19632
2020-02-20,NL,22303
2020-02-20,TL,880
2020-02-21,ARWEB,3
2020-02-21,NL,65
2020-02-21,TL,431
2020-02-22,NL,3353
2020-02-23,NL,19612
2020-02-24,ARWEB,34
2020-02-24,NL,22028
2020-02-25,ARWEB,20
2020-02-25,NL,33707
2020-02-25,TL,6
2020-02-26,ARWEB,4
2020-02-26,NL,25493
2020-02-27,NL,25740
2020-02-27,TL,2
2020-02-28,NL,34
2020-02-29,NL,3011
2020-03-01,NL,22726
2020-03-02,ARWEB,30
2020-03-02,NL,19988
2020-03-02,TL,4
2020-03-03,ARWEB,15
2020-03-03,NL,25473
2020-03-03,TL,7
2020-03-04,ARWEB,2
2020-03-04,NL,21937
2020-03-04,TL,8
2020-03-05,NL,21638
2020-03-05,TL,1
2020-03-06,NL,10
2020-03-07,NL,3206
2020-03-08,NL,18910
2020-03-09,ARWEB,71
2020-03-09,NL,27299
2020-03-10,NL,37691
2020-03-10,TL,19
2020-03-11,ARWEB,26
2020-03-11,NL,26938
2020-03-12,NL,22894
2020-03-12,NLECO,1
2020-03-13,NL,21
2020-03-13,TL,3
2020-03-14,NL,1482
2020-03-15,NL,20474
2020-03-16,ARWEB,33
2020-03-16,EXT,2
2020-03-16,NL,4222
2020-03-17,ARWEB,86
2020-03-17,NL,2041
2020-03-17,TL,6
2020-03-18,NL,1861
2020-03-19,NL,640
2020-03-20,NL,0
2020-03-21,NL,0
2020-03-22,NL,267
2020-03-23,NL,833
2020-03-24,NL,0
2020-03-25,ARWEB,107
2020-03-25,NL,0
2020-03-26,ARWEB,1
2020-03-26,NL,70
2020-03-27,NL,0
2020-03-28,NL,0
2020-03-29,NL,0
2020-03-30,NL,33
2020-03-31,ARWEB,85
2020-03-31,NL,0
2020-04-01,NL,0
2020-04-02,NL,3
2020-04-03,NL,0
2020-04-04,NL,0
2020-04-05,NL,26
2020-04-06,ARWEB,81
2020-04-06,NL,5229
2020-04-07,NL,31
2020-04-07,NLECO,47
2020-04-08,NL,0
2020-04-08,NLECO,74
2020-04-09,ARWEB,42
2020-04-09,NL,54
2020-04-10,ARWEB,1
2020-04-10,NL,15
2020-04-11,NL,0
2020-04-12,NL,6
2020-04-13,NL,10
2020-04-14,ARWEB,76
2020-04-14,NL,9
2020-04-15,ARWEB,1
2020-04-15,NL,27
2020-04-16,NL,5329
2020-04-17,NL,3
2020-04-18,NL,0
2020-04-19,NL,20
2020-04-20,ARWEB,109
2020-04-20,NL,0
2020-04-21,NL,48
2020-04-22,NL,0
2020-04-23,NL,5579
2020-04-24,NL,119
2020-04-25,NL,32
2020-04-26,NL,84
2020-04-27,ARWEB,72
2020-04-27,NL,408
2020-04-27,NLECO,3
2020-04-27,TL,2
2020-04-28,NL,225
2020-04-29,NL,350
2020-04-30,NL,8074
2020-05-01,NL,185
2020-05-02,NL,1
2020-05-03,NL,0
2020-05-04,ARWEB,123
2020-05-04,NL,368
2020-05-04,NLECO,1
2020-05-05,ARWEB,2
2020-05-05,NL,11
2020-05-06,NL,444
2020-05-06,NLECO,1
2020-05-07,NL,319
2020-05-08,NL,0
2020-05-09,NL,0
2020-05-10,NL,13997
2020-05-11,ARWEB,99
2020-05-11,NL,1113
2020-05-12,NL,5357
2020-05-13,ARWEB,3
2020-05-13,NL,769
2020-05-14,NL,1068
2020-05-15,NL,0
2020-05-16,NL,0
2020-05-17,NL,43475
2020-05-18,ARWEB,80
2020-05-18,NL,2782
2020-05-18,TL,17
2020-05-19,NL,17130
2020-05-20,NL,1173
2020-05-20,TL,40
2020-05-21,NL,2769
2020-05-22,NL,51
2020-05-23,NL,458
2020-05-24,NL,48496
2020-05-25,ARWEB,32
2020-05-25,NL,36571
2020-05-25,TL,8
2020-05-26,NL,25526
2020-05-26,TL,14
2020-05-27,NL,17043
2020-05-27,TL,12
2020-05-28,NL,280
2020-05-29,NL,17
2020-05-29,TL,1
2020-05-30,NL,63
2020-05-31,NL,34691
2020-06-01,NL,39754
2020-06-02,ARWEB,64
2020-06-02,NL,42500
2020-06-02,TL,26
2020-06-03,NL,23966
2020-06-03,NLECO,5
2020-06-03,TL,9
2020-06-04,NL,40385
2020-06-04,TL,12
2020-06-04,VRET,122
2020-06-05,ARWEB,69
2020-06-05,NL,1163
2020-06-06,NL,12565
2020-06-07,NL,27669
2020-06-08,NL,36838
2020-06-08,TL,1
2020-06-09,NL,49663
2020-06-09,TL,4
2020-06-10,NL,28152
2020-06-10,TL,3
2020-06-11,NL,40308
2020-06-11,TL,14
2020-06-12,ARWEB,49
2020-06-12,NL,140
2020-06-12,TL,2
2020-06-13,NL,2685
2020-06-14,NL,20488
2020-06-15,NL,32297
2020-06-15,TL,5
2020-06-16,ARWEB,59
2020-06-16,NL,50134
2020-06-16,TL,6
2020-06-17,NL,23864
2020-06-17,TL,1
2020-06-18,NL,37883
2020-06-18,TL,12
2020-06-19,ARWEB,46
2020-06-19,NL,12
2020-06-19,NLECO,8
2020-06-19,TL,8
2020-06-20,NL,2628
2020-06-21,NL,22720
2020-06-22,NL,32333
2020-06-22,TL,14
2020-06-23,NL,42050
2020-06-23,TL,15
2020-06-24,NL,23210
2020-06-25,ARWEB,68
2020-06-25,NL,37859
2020-06-26,NL,36
2020-06-26,TL,14
2020-06-27,NL,2454
2020-06-28,NL,20262
2020-06-29,NL,31040
2020-06-29,NWKL,1086
2020-06-29,TL,39
2020-06-30,NL,35502
2020-06-30,TL,5
2020-07-01,NL,26020
2020-07-01,NLECO,2
2020-07-01,NWECO,35
2020-07-02,NL,37599
2020-07-02,NWDSP,13
2020-07-02,NWECO,9
2020-07-02,NWKL,1028
2020-07-02,TL,104
2020-07-03,NL,170
2020-07-04,NL,2754
2020-07-05,NL,26977
2020-07-06,ARWEB,51
2020-07-06,NL,35900
2020-07-07,NL,29667
2020-07-07,TL,21
2020-07-08,NL,30752
2020-07-09,ARWEB,4
2020-07-09,NL,26472
2020-07-09,TL,3
2020-07-10,NL,30
2020-07-10,TL,8
2020-07-11,NL,1650
2020-07-12,NL,26486
2020-07-13,ARWEB,53
2020-07-13,NL,36498
2020-07-13,NWKL,1773
2020-07-13,TL,18
2020-07-14,NL,27492
2020-07-14,TL,2
2020-07-15,NL,33258
2020-07-15,TL,1
2020-07-16,NL,17851
2020-07-17,NL,12
2020-07-17,TL,3
2020-07-18,NL,1505
2020-07-19,NL,4652
2020-07-20,ARWEB,46
2020-07-20,NL,31603
2020-07-20,TL,6
2020-07-21,NL,36685
2020-07-22,NL,23440
2020-07-22,NLECO,1
2020-07-22,TL,5
2020-07-23,NL,35916
2020-07-23,NLECO,3
2020-07-24,NL,303
2020-07-24,NWKL,5
2020-07-24,TL,2
2020-07-25,NL,4960
2020-07-26,NL,23475
2020-07-27,ARWEB,51
2020-07-27,NL,24534
2020-07-27,NLECO,8
2020-07-27,TL,4
2020-07-27,VRET,374
2020-07-28,NL,34330
2020-07-28,NLECO,11
2020-07-29,ARWEB,4
2020-07-29,NL,19342
2020-07-30,NL,30947
2020-07-30,NWECO,9
2020-07-31,NL,25
2020-08-01,NL,2914
2020-08-02,NL,19715
2020-08-03,ARWEB,8
2020-08-03,NL,25361
2020-08-03,TL,13
2020-08-04,ARWEB,2
2020-08-04,NL,33620
2020-08-05,ARWEB,11
2020-08-05,NL,19454
2020-08-06,ARWEB,1
2020-08-06,NL,28805
2020-08-07,ARWEB,1
2020-08-07,NL,157
2020-08-07,NWKL,1436
2020-08-07,TL,2
2020-08-08,NL,3081
2020-08-09,NL,16704
2020-08-10,ARWEB,16
2020-08-10,NL,24450
2020-08-10,TL,5
2020-08-10,VRET,97
2020-08-11,NL,28978
2020-08-11,NLECO,1
2020-08-12,ARWEB,2
2020-08-12,NL,17412
2020-08-12,TL,2
2020-08-13,NL,25808
2020-08-13,TL,1
2020-08-14,ARWEB,2
2020-08-14,NL,36
2020-08-14,TL,7
2020-08-15,NL,3339
2020-08-16,NL,17393
2020-08-17,ARWEB,9
2020-08-17,NL,25127
2020-08-17,TL,2
2020-08-18,NL,32940
2020-08-18,TL,1
2020-08-19,ARWEB,5
2020-08-19,NL,17926
2020-08-19,PHKER,0
2020-08-19,TL,2
2020-08-20,NL,28074
2020-08-20,TL,1
2020-08-21,NL,28
2020-08-22,NL,3457
2020-08-23,NL,23630
2020-08-24,ARWEB,16
2020-08-24,NL,31784
2020-08-24,PHKER,74
2020-08-25,ARWEB,1
2020-08-25,NL,38203
2020-08-25,TL,1
2020-08-26,ARWEB,2
2020-08-26,NL,21611
2020-08-27,NL,34580
2020-08-28,ARWEB,71
2020-08-28,NL,309
2020-08-29,NL,2709
2020-08-30,NL,19642
2020-08-31,ARWEB,11
2020-08-31,NL,26923
2020-09-01,EXT,1
2020-09-01,NL,39174
2020-09-01,PHKER,8384
2020-09-02,ARWEB,2
2020-09-02,NL,21598
2020-09-02,NWKL,1627
2020-09-02,PHKER,12304
2020-09-02,TL,2
2020-09-03,ARWEB,2
2020-09-03,EXT,1
2020-09-03,NL,32186
2020-09-03,NWECO,6
2020-09-03,PHKER,8223
2020-09-03,TL,21
2020-09-04,EXT,1
2020-09-04,NL,18
2020-09-04,PHKER,11420
2020-09-04,TL,1
2020-09-05,NL,2490
2020-09-06,NL,21032
2020-09-07,ARWEB,7
2020-09-07,NL,28318
2020-09-07,TL,4
2020-09-08,NL,38755
2020-09-08,PHKER,1518
2020-09-09,ARWEB,92
2020-09-09,NL,21543
2020-09-09,PHKER,8298
2020-09-10,NL,34157
2020-09-10,NWKL,123
2020-09-10,PHKER,167
2020-09-11,NL,41
2020-09-11,PHKER,9029
2020-09-12,NL,2624
2020-09-13,NL,22233
2020-09-14,ARWEB,40
2020-09-14,NL,29072
2020-09-14,PHKER,153
2020-09-15,ARWEB,1
2020-09-15,NL,43872
2020-09-15,NWKL,2339
2020-09-15,TL,4
2020-09-16,ARWEB,12
2020-09-16,NL,23239
2020-09-16,TL,2
2020-09-17,NL,37550
2020-09-18,NL,46
2020-09-18,PHKER,2177
2020-09-18,TL,4
2020-09-19,NL,2635
2020-09-20,NL,24295
2020-09-21,ARWEB,1
2020-09-21,NL,36201
2020-09-21,NWKL,1490
2020-09-21,PHKER,3500
2020-09-22,ARWEB,1
2020-09-22,NL,45848
2020-09-22,PHKER,7857
2020-09-23,ARWEB,41
2020-09-23,NL,24824
2020-09-23,PHKER,4712
2020-09-24,NL,38309
2020-09-24,PHKER,7130
2020-09-25,ARWEB,1
2020-09-25,NL,15
2020-09-25,NWKL,3173
2020-09-25,PHKER,189
2020-09-26,NL,2658
2020-09-27,NL,24453
2020-09-28,ARWEB,19
2020-09-28,NL,35757
2020-09-28,TL,2
2020-09-29,ARWEB,2
2020-09-29,NL,43297
2020-09-29,PHKER,5487
2020-09-29,TL,1
2020-09-30,ARWEB,209
2020-09-30,NL,23702
2020-09-30,PHKER,93
2020-10-01,NL,39184
2020-10-01,NWKL,675
2020-10-01,PHKER,7143
2020-10-01,TL,1
2020-10-02,ARWEB,1
2020-10-02,NL,40
2020-10-03,ARWEB,0
2020-10-03,NL,2273
2020-10-04,NL,22322
2020-10-05,ARWEB,32
2020-10-05,NL,40843
2020-10-05,NWECO,25
2020-10-05,NWKL,2082
2020-10-06,NL,48601
2020-10-06,PHKER,1080
2020-10-06,TL,1
2020-10-07,ARWEB,361
2020-10-07,NL,28208
2020-10-07,NWKL,741
2020-10-07,PHKER,1906
2020-10-08,NL,45060
2020-10-09,NL,57
2020-10-09,NWECO,24
2020-10-09,NWKL,1950
2020-10-09,PHKER,93
2020-10-10,NL,3162
2020-10-11,NL,27654
2020-10-12,ARWEB,36
2020-10-12,NL,47067
2020-10-13,NL,58817
2020-10-13,NWKL,791
2020-10-14,ARWEB,12
2020-10-14,NL,34800
2020-10-15,NL,46975
2020-10-16,NL,739
2020-10-16,NLECO,1
2020-10-17,NL,3190
2020-10-18,NL,27976
2020-10-19,ARWEB,270
2020-10-19,NL,47228
2020-10-20,ARWEB,11
2020-10-20,NL,57012
2020-10-20,TL,2
2020-10-21,ARWEB,35
2020-10-21,NL,32973
2020-10-22,ARWEB,1
2020-10-22,NL,45690
2020-10-22,NLKER,46
2020-10-22,TL,2
2020-10-23,NL,37
2020-10-24,NL,4972
2020-10-25,NL,33050
2020-10-26,ARWEB,64
2020-10-26,NL,39950
2020-10-26,TL,1
2020-10-27,ARWEB,5
2020-10-27,NL,66048
2020-10-28,ARWEB,137
2020-10-28,NL,11011
2020-10-29,ARWEB,6
2020-10-29,NL,42743
2020-10-29,TL,2
2020-10-30,NL,43
2020-10-31,NL,4357
2020-11-01,NL,21225
2020-11-02,ARWEB,101
2020-11-02,NL,15192
2020-11-02,TL,1
2020-11-03,NL,19140
2020-11-03,TL,6
2020-11-04,ARWEB,42
2020-11-04,NL,21367
2020-11-05,NL,4465
2020-11-06,NL,331
2020-11-07,NL,1508
2020-11-08,NL,22198
2020-11-09,NL,78
2020-11-10,NL,4932
2020-11-11,NL,13065
2020-11-12,ARWEB,182
2020-11-12,NL,73618
2020-11-13,ARWEB,13
2020-11-13,NL,3075
2020-11-14,NL,1386
2020-11-15,NL,459
2020-11-16,ARWEB,52
2020-11-16,NL,24485
2020-11-16,TL,1
2020-11-17,ARWEB,1
2020-11-17,NL,7177
2020-11-18,ARWEB,31
2020-11-18,NL,30322
2020-11-18,TL,2
2020-11-19,ARWEB,1
2020-11-19,NL,23692
2020-11-20,NL,4594
2020-11-21,NL,799
2020-11-22,NL,770
2020-11-23,NL,33999
2020-11-23,TL,1
2020-11-24,NL,25886
2020-11-25,NL,14351
2020-11-26,NL,27246
2020-11-26,TL,53
2020-11-27,NL,7724
2020-11-28,NL,1124
2020-11-29,NL,7067
2020-11-30,NL,38596
2020-11-30,TL,3
2020-12-01,NL,38079
2020-12-02,NL,22950
2020-12-03,NL,39360
2020-12-03,TL,1
2020-12-04,NL,11935
2020-12-04,TL,3
2020-12-05,NL,2401
2020-12-06,NL,17980
2020-12-07,NL,37110
2020-12-07,TL,63
2020-12-08,NL,52646
2020-12-08,TL,2
2020-12-09,NL,18265
2020-12-10,NL,30589
2020-12-11,NL,6470
2020-12-11,TL,4
2020-12-12,NL,14863
2020-12-13,NL,32970
2020-12-14,NL,38011
2020-12-14,TL,20
2020-12-15,NL,32257
2020-12-16,NL,30388
2020-12-17,ARWEB,105
2020-12-17,NL,26865
2020-12-17,TL,1
2020-12-18,NL,4122
2020-12-19,NL,2093
2020-12-20,NL,41936
2020-12-21,NL,36871
2020-12-21,TL,1
2020-12-21,VRET,172
2020-12-22,NL,29950
2020-12-23,ARWEB,23
2020-12-23,NL,26362
2020-12-23,TL,1
2020-12-23,VRET,25
2020-12-24,NL,3246
2020-12-25,NL,859
2020-12-26,NL,6144
2020-12-27,NL,36308
2020-12-28,ARWEB,1
2020-12-28,NL,46694
2020-12-29,NL,11264
2020-12-30,NL,26743
2020-12-30,TL,3
2020-12-31,NL,2548
2021-01-01,NL,0
2021-01-02,NL,2442
2021-01-03,NL,18649
2021-01-04,NL,27228
2021-01-04,TL,2
2021-01-05,NL,29678
2021-01-05,TL,5
2021-01-06,ARWEB,9
2021-01-06,NL,16568
2021-01-07,NL,25789
2021-01-07,VRET,24
2021-01-08,NL,2181
2021-01-09,NL,1444
2021-01-10,NL,13698
2021-01-11,ARWEB,12
2021-01-11,NL,24148
2021-01-12,NL,29923
2021-01-12,TL,1
2021-01-13,ARWEB,66
2021-01-13,NL,21318
2021-01-14,NL,21590
2021-01-14,TL,10
2021-01-15,NL,13076
2021-01-16,NL,1600
2021-01-17,NL,14860
2021-01-18,ARWEB,32
2021-01-18,NL,16001
2021-01-18,TL,1
2021-01-19,NL,27400
2021-01-20,ARWEB,18
2021-01-20,NL,18008
2021-01-21,NL,23331
2021-01-21,TL,4
2021-01-22,NL,2903
2021-01-23,NL,999
2021-01-24,NL,16873
2021-01-25,NL,16859
2021-01-26,NL,31627
2021-01-27,NL,19438
2021-01-28,NL,25981
2021-01-29,NL,2122
