DATE,SECONDSSPENT,FORECAST
2022-08-16,24864.0,1233356.0478045593
2022-08-17,648639.0,649830.8996996947
2022-08-18,1535976.0,625357.8147494543
2022-08-19,1253113.0,870699.9510509777
2022-08-20,67002.0,86772.90461210276
2022-08-21,3600.0,2579.2673776277998
2022-08-22,1816870.0,1470318.8253409525
2022-08-23,1772212.0,1554591.8238891403
2022-08-24,1766058.0,1752500.9001097246
2022-08-25,1696949.0,1736568.8582238837
2022-08-26,1809566.0,1373696.5153327398
2022-08-27,839150.0,129496.24900735385
2022-08-28,3600.0,16465.878194004632
2022-08-29,2203513.0,4789442.42859934
2022-08-30,2412698.0,3313865.240900354
2022-08-31,2645506.0,3018682.7437991747
2022-09-01,2182329.0,2799397.974786827
2022-09-02,2132410.0,2002299.7027299209
2022-09-03,1135249.0,176948.73329039742
2022-09-04,3600.0,20984.35702873069
2022-09-05,2948984.0,5882874.454110808
2022-09-06,2536274.0,4197579.18473599
2022-09-07,2578248.0,3554895.4075032473
2022-09-08,2789033.0,3027046.4823617055
2022-09-09,2697877.0,2344234.097004496
2022-09-10,1145732.0,227354.0137832044
2022-09-11,3600.0,20652.393421393415
2022-09-12,2605866.0,5820392.310890522
2022-09-13,3144026.0,4006285.270771681
2022-09-14,3213480.0,3778086.5385081745
2022-09-15,2666285.0,3457385.888213414
2022-09-16,2301377.0,2472750.752891915
2022-09-17,155271.0,223406.96663410513
2022-09-18,3600.0,5401.8306681693075
2022-09-19,2672418.0,2155049.6610280345
2022-09-20,2403952.0,2295513.8032293273
2022-09-21,2343975.0,2478290.582061055
2022-09-22,2530398.0,2376995.7217153837
2022-09-23,2075660.0,1981685.4546240955
2022-09-24,795.0,189190.69811327383
2022-09-25,3600.0,2690.6237308860805
2022-09-26,2625590.0,1509140.1746239816
2022-09-27,2310970.0,1959666.4442179755
2022-09-28,2147913.0,2248021.998916831
2022-09-29,2305728.0,2167694.284753991
2022-09-30,3600.0,1804739.080227142
2022-10-01,621376.0,82723.60023678513
2022-10-02,3600.0,10206.806486599453
2022-10-03,2834680.0,3346181.6472647614
2022-10-04,2454974.0,2920643.512183872
2022-10-05,2341719.0,2827168.3467861004
2022-10-06,2414705.0,2553945.991738169
2022-10-07,2306308.0,1984193.607310428
2022-10-08,559815.0,213010.8890278883
2022-10-09,3600.0,10449.31183920132
2022-10-10,2712754.0,3421403.3832209716
2022-10-11,2552054.0,2897402.3451923113
2022-10-12,2345207.0,2865019.382252033
2022-10-13,2452360.0,2576676.975079619
2022-10-14,3006732.0,2012142.3476340622
2022-10-15,683595.0,252991.94666610702
2022-10-16,3600.0,12384.406612337543
2022-10-17,2430151.0,3911950.994442145
2022-10-18,2658623.0,2997907.751217017
2022-10-19,2511681.0,2971727.3626514245
2022-10-20,2541082.0,2715379.7987538716
2022-10-21,2130461.0,2114408.8956720345
2022-10-22,3600.0,216217.1728917357
2022-10-23,3600.0,2804.9196886630857
2022-10-24,2500386.0,1560308.04685578
2022-10-25,2411540.0,1917534.5683924514
2022-10-26,2450318.0,2268525.5039703506
2022-10-27,2361336.0,2336034.91557393
2022-10-28,2019875.0,1889120.4905329924
2022-10-29,3600.0,197004.64463048853
2022-10-30,3600.0,2589.1675093720974
2022-10-31,1855031.0,1511784.49341791
2022-11-01,3600.0,1581018.2396077958
2022-11-02,2264570.0,816108.4036760286
2022-11-03,2681393.0,1517239.8058330945
2022-11-04,2376318.0,1688023.603721307
2022-11-05,3600.0,202767.0491688179
2022-11-06,3600.0,2702.6504258742307
2022-11-07,2381113.0,1537557.7801527893
2022-11-08,2431978.0,1821002.776370306
2022-11-09,949904.0,2287056.079656348
2022-11-10,2278598.0,1579152.229714231
2022-11-11,3600.0,1544093.258920182
2022-11-12,3600.0,75179.00770608445
2022-11-13,3600.0,1020.170482749224
2022-11-14,3272069.0,1124358.139211036
2022-11-15,2951189.0,2041228.3930933068
2022-11-16,3628515.0,2663842.000940321
2022-11-17,2911377.0,3120834.720029125
2022-11-18,2342916.0,2388679.1771547603
2022-11-19,3600.0,233170.33394473852
2022-11-20,3600.0,3259.8717671691074
2022-11-21,2705890.0,1668259.0236232553
2022-11-22,2104587.0,2000955.8099952957
2022-11-23,1991349.0,2184877.475307287
2022-11-24,2224708.0,2055516.3755470542
2022-11-25,1730352.0,1691081.3041582648
2022-11-26,3600.0,166550.9246580878
2022-11-27,3600.0,2356.708108265466
2022-11-28,2690374.0,1453397.626477312
2022-11-29,2541278.0,1883795.536978553
2022-11-30,2180110.0,2353279.10861055
2022-12-01,1984971.0,2236928.463696532
2022-12-02,1850387.0,1666872.5253765304
2022-12-03,3600.0,169547.9382685588
2022-12-04,3600.0,2436.0013495013645
2022-12-05,2136175.0,1477707.725218751
2022-12-06,2062662.0,1632202.6773028255
2022-12-07,2251745.0,1953377.718486481
2022-12-08,1994313.0,2072831.3688216463
2022-12-09,1724767.0,1608896.7801830322
2022-12-10,3600.0,158880.4179363909
2022-12-11,3600.0,2317.6062188214546
2022-12-12,2060686.0,1447905.8164876595
2022-12-13,2028477.0,1581289.9575060343
2022-12-14,2117237.0,1905922.0463069354
2022-12-15,2090354.0,1978639.358989988
2022-12-16,1506273.0,1611543.3798800574
2022-12-17,3600.0,146951.1279962339
2022-12-18,3600.0,2178.263394354472
2022-12-19,1921887.0,1411569.7407737079
2022-12-20,2458293.0,1499416.3223628786
2022-12-21,1982115.0,2088102.830218216
2022-12-22,1925822.0,2001074.9941913409
2022-12-23,2077866.0,1552957.1818267077
2022-12-24,357753.0,169823.7986386583
2022-12-25,3600.0,7868.113065381797
2022-12-26,1871803.0,2813633.9559160126
2022-12-27,2144452.0,2120697.8260078174
2022-12-28,1817486.0,2235960.910850857
2022-12-29,1635002.0,1992705.358464402
2022-12-30,1402971.0,1438612.7296523242
2022-12-31,3600.0,133586.1827380359
2023-01-01,3600.0,1980.562981420728
2023-01-02,1898116.0,1361336.7371327842
2023-01-03,1648434.0,1474786.1528545786
2023-01-04,1521210.0,1628945.2368163483
2023-01-05,1225962.0,1544685.179628206
2023-01-06,1488580.0,1097020.5056209343
2023-01-07,3600.0,120295.0080488476
2023-01-08,3600.0,1818.0360372093296
2023-01-09,1248294.0,1315767.6573621863
2023-01-10,1118051.0,1153215.5963208168
2023-01-11,1126810.0,1177437.8697870004
2023-01-12,1117710.0,1123568.3434702433
2023-01-13,1082831.0,889891.9182704489
2023-01-14,3600.0,90264.92052741491
2023-01-15,3600.0,1395.6281403826663
2023-01-16,1776192.0,1199599.129299992
2023-01-17,1634661.0,1342213.646661219
2023-01-18,1477739.0,1549587.4793921253
2023-01-19,1146876.0,1483137.384679782
2023-01-20,934538.0,1049534.7420258548
2023-01-21,3600.0,89754.08985579094
2023-01-22,3600.0,1424.7596490658084
2023-01-23,1195039.0,1193797.698957472
2023-01-24,1084678.0,1071423.5415772204
2023-01-25,1137930.0,1114624.2869403623
2023-01-26,1614168.0,1097353.7746427907
2023-01-27,1102695.0,1084230.1058947311
2023-01-28,3600.0,98261.23863940334
